# Region      : cellZone ignition
# Cells       : 1
# Volume      : 2.655875e-09
# Time        	volAverage(T)	volAverage(CH4)
0.00142       	3.000000e+03	2.681586e-04
0.00143       	3.000000e+03	2.688929e-04
0.00144       	3.000000e+03	2.688014e-04
0.00145       	3.000000e+03	2.717415e-04
0.00146       	3.000000e+03	2.688602e-04
0.00147       	3.000000e+03	2.721947e-04
0.00148       	3.000000e+03	2.751780e-04
0.00149       	3.000000e+03	2.812433e-04
0.0015        	3.000000e+03	2.831091e-04
0.00151       	3.000000e+03	2.776484e-04
0.00152       	3.000000e+03	2.736993e-04
0.00153       	3.000000e+03	2.776938e-04
0.00154       	3.000000e+03	2.752446e-04
0.00155       	3.000000e+03	2.683061e-04
0.00156       	3.000000e+03	2.677170e-04
0.00157       	3.000000e+03	2.673919e-04
0.00158       	3.000000e+03	2.653653e-04
0.00159       	3.000000e+03	2.680453e-04
0.0016        	3.000000e+03	2.628012e-04
0.00161       	3.000000e+03	2.610177e-04
0.00162       	3.000000e+03	2.632293e-04
0.00163       	3.000000e+03	2.611917e-04
0.00164       	3.000000e+03	2.563072e-04
0.00165       	3.000000e+03	2.589152e-04
0.00166       	3.000000e+03	2.577083e-04
0.00167       	3.000000e+03	2.584524e-04
0.00168       	3.000000e+03	2.556000e-04
0.00169       	3.000000e+03	2.513309e-04
0.0017        	3.000000e+03	2.532514e-04
0.00171       	3.000000e+03	2.486158e-04
0.00172       	3.000000e+03	2.521602e-04
0.00173       	3.000000e+03	2.463136e-04
0.00174       	3.000000e+03	2.449086e-04
0.00175       	3.000000e+03	2.412206e-04
0.00176       	3.000000e+03	2.372761e-04
0.00177       	3.000000e+03	2.358109e-04
0.00178       	3.000000e+03	2.348496e-04
0.00179       	3.000000e+03	2.333988e-04
0.0018        	3.000000e+03	2.308932e-04
0.00181       	3.000000e+03	2.253592e-04
0.00182       	3.000000e+03	2.222656e-04
0.00183       	3.000000e+03	2.186970e-04
0.00184       	3.000000e+03	2.140242e-04
0.00185       	3.000000e+03	2.111975e-04
0.00186       	3.000000e+03	2.067769e-04
0.00187       	3.000000e+03	2.017389e-04
0.00188       	3.000000e+03	1.949656e-04
0.00189       	3.000000e+03	1.889039e-04
0.0019        	3.000000e+03	1.807594e-04
0.00191       	3.000000e+03	1.812743e-04
0.00192       	3.000000e+03	1.823452e-04
0.00193       	3.000000e+03	1.778188e-04
0.00194       	3.000000e+03	1.730492e-04
0.00195       	3.000000e+03	1.689995e-04
0.00196       	3.000000e+03	1.631746e-04
0.00197       	3.000000e+03	1.557584e-04
0.00198       	3.000000e+03	1.497105e-04
0.00199       	3.000000e+03	1.417738e-04
0.002         	3.000000e+03	1.353860e-04
0.00201       	3.000000e+03	1.318100e-04
0.00202       	3.000000e+03	1.339625e-04
0.00203       	3.000000e+03	1.314289e-04
0.00204       	3.000000e+03	1.284957e-04
0.00205       	3.000000e+03	1.249069e-04
0.00206       	3.000000e+03	1.208032e-04
0.00207       	3.000000e+03	1.181044e-04
0.00208       	3.000000e+03	1.153283e-04
0.00209       	3.000000e+03	1.137768e-04
0.0021        	3.000000e+03	1.108877e-04
0.00211       	3.000000e+03	1.072332e-04
0.00212       	3.000000e+03	1.024283e-04
0.00213       	3.000000e+03	9.716127e-05
0.00214       	3.000000e+03	9.013662e-05
0.00215       	3.000000e+03	8.207879e-05
0.00216       	3.000000e+03	7.444270e-05
0.00217       	3.000000e+03	6.997222e-05
0.00218       	3.000000e+03	6.784181e-05
0.00219       	2.998187e+03	6.665341e-05
0.0022        	2.983196e+03	6.580571e-05
0.00221       	2.967633e+03	6.798289e-05
0.00222       	2.952625e+03	7.018060e-05
0.00223       	2.938181e+03	7.261858e-05
0.00224       	2.924415e+03	7.451211e-05
0.00225       	2.910896e+03	7.638152e-05
0.00226       	2.899314e+03	7.745029e-05
0.00227       	2.888811e+03	7.531387e-05
0.00228       	2.877962e+03	7.411892e-05
0.00229       	2.866989e+03	7.412833e-05
0.0023        	2.856765e+03	7.347993e-05
0.00231       	2.846883e+03	7.243982e-05
0.00232       	2.836941e+03	7.080952e-05
0.00233       	2.825466e+03	6.739541e-05
0.00234       	2.813575e+03	6.702184e-05
0.00235       	2.803720e+03	6.257718e-05
0.00236       	2.795406e+03	6.858921e-05
0.00237       	2.786794e+03	6.942087e-05
0.00238       	2.778146e+03	6.763599e-05
0.00239       	2.769850e+03	6.415855e-05
0.0024        	2.761672e+03	5.892703e-05
0.00241       	2.752000e+03	5.362999e-05
0.00242       	2.744240e+03	5.016497e-05
0.00243       	2.735657e+03	4.557773e-05
0.00244       	2.727772e+03	4.445083e-05
0.00245       	2.722117e+03	4.154081e-05
0.00246       	2.716434e+03	4.068452e-05
0.00247       	2.711019e+03	4.095167e-05
0.00248       	2.705697e+03	4.139774e-05
0.00249       	2.700531e+03	4.174423e-05
0.0025        	2.695486e+03	4.180881e-05
0.00251       	2.690551e+03	4.155697e-05
0.00252       	2.685652e+03	4.123253e-05
0.00253       	2.680892e+03	4.053771e-05
0.00254       	2.676155e+03	3.987318e-05
0.00255       	2.671418e+03	3.928894e-05
0.00256       	2.666740e+03	3.854731e-05
0.00257       	2.661868e+03	3.770092e-05
0.00258       	2.656247e+03	3.639332e-05
0.00259       	2.649360e+03	3.452280e-05
0.0026        	2.644260e+03	3.347703e-05
0.00261       	2.640390e+03	3.116701e-05
0.00262       	2.636423e+03	3.083425e-05
0.00263       	2.632404e+03	3.142533e-05
0.00264       	2.628452e+03	3.189659e-05
0.00265       	2.624549e+03	3.210176e-05
0.00266       	2.620703e+03	3.199805e-05
0.00267       	2.616931e+03	3.170942e-05
0.00268       	2.613221e+03	3.128760e-05
0.00269       	2.609565e+03	3.083365e-05
0.0027        	2.605956e+03	3.038185e-05
0.00271       	2.602408e+03	2.989201e-05
0.00272       	2.598911e+03	2.937267e-05
0.00273       	2.595464e+03	2.904655e-05
0.00274       	2.592059e+03	2.878607e-05
0.00275       	2.588694e+03	2.851556e-05
0.00276       	2.585364e+03	2.824950e-05
0.00277       	2.582076e+03	2.788172e-05
0.00278       	2.578821e+03	2.753532e-05
0.00279       	2.575623e+03	2.716452e-05
0.0028        	2.572440e+03	2.682925e-05
0.00281       	2.569295e+03	2.647461e-05
0.00282       	2.566171e+03	2.617439e-05
0.00283       	2.563091e+03	2.584968e-05
0.00284       	2.560056e+03	2.550773e-05
0.00285       	2.557052e+03	2.520213e-05
0.00286       	2.554065e+03	2.498334e-05
0.00287       	2.551129e+03	2.474279e-05
0.00288       	2.548214e+03	2.455615e-05
0.00289       	2.545315e+03	2.447144e-05
0.0029        	2.542424e+03	2.449799e-05
0.00291       	2.539540e+03	2.457754e-05
0.00292       	2.536862e+03	2.460873e-05
0.00293       	2.534573e+03	2.452552e-05
0.00294       	2.532295e+03	2.438294e-05
0.00295       	2.529993e+03	2.427941e-05
0.00296       	2.527685e+03	2.417334e-05
0.00297       	2.525365e+03	2.405762e-05
0.00298       	2.523031e+03	2.393884e-05
0.00299       	2.520694e+03	2.379638e-05
0.003         	2.518350e+03	2.365041e-05
0.00301       	2.515997e+03	2.350293e-05
0.00302       	2.513646e+03	2.332850e-05
0.00303       	2.511295e+03	2.315455e-05
0.00304       	2.508877e+03	2.325906e-05
0.00305       	2.506417e+03	2.396604e-05
0.00306       	2.504017e+03	2.400815e-05
0.00307       	2.501641e+03	2.360412e-05
0.00308       	2.499261e+03	2.321985e-05
0.00309       	2.496894e+03	2.294069e-05
0.0031        	2.494542e+03	2.272621e-05
0.00311       	2.492198e+03	2.251379e-05
0.00312       	2.489865e+03	2.229684e-05
0.00313       	2.487542e+03	2.204332e-05
0.00314       	2.485234e+03	2.169381e-05
0.00315       	2.482933e+03	2.134110e-05
0.00316       	2.480647e+03	2.105372e-05
0.00317       	2.478369e+03	2.082372e-05
0.00318       	2.476107e+03	2.059675e-05
0.00319       	2.473857e+03	2.040357e-05
0.0032        	2.471629e+03	2.022560e-05
0.00321       	2.469406e+03	2.011111e-05
0.00322       	2.467193e+03	2.002554e-05
0.00323       	2.465097e+03	1.990090e-05
0.00324       	2.463430e+03	1.967990e-05
0.00325       	2.461791e+03	1.926275e-05
0.00326       	2.460136e+03	1.864875e-05
0.00327       	2.458193e+03	1.817365e-05
0.00328       	2.456384e+03	1.785834e-05
0.00329       	2.454682e+03	1.794426e-05
0.0033        	2.452998e+03	1.840271e-05
0.00331       	2.451316e+03	1.890734e-05
0.00332       	2.449630e+03	1.922860e-05
0.00333       	2.447940e+03	1.935131e-05
0.00334       	2.446255e+03	1.928694e-05
0.00335       	2.444566e+03	1.917219e-05
0.00336       	2.442868e+03	1.912403e-05
0.00337       	2.441163e+03	1.909635e-05
0.00338       	2.439455e+03	1.902214e-05
0.00339       	2.437739e+03	1.898085e-05
0.0034        	2.436035e+03	1.890339e-05
0.00341       	2.434327e+03	1.879646e-05
0.00342       	2.432632e+03	1.852395e-05
0.00343       	2.430945e+03	1.814455e-05
0.00344       	2.429253e+03	1.777615e-05
0.00345       	2.427561e+03	1.741254e-05
0.00346       	2.425870e+03	1.709733e-05
0.00347       	2.424189e+03	1.674241e-05
0.00348       	2.422508e+03	1.627685e-05
0.00349       	2.420735e+03	1.577730e-05
0.0035        	2.418777e+03	1.523008e-05
0.00351       	2.416846e+03	1.472953e-05
0.00352       	2.415099e+03	1.467914e-05
0.00353       	2.413392e+03	1.525789e-05
0.00354       	2.411751e+03	1.596493e-05
0.00355       	2.410125e+03	1.667109e-05
0.00356       	2.408504e+03	1.713533e-05
0.00357       	2.406883e+03	1.741553e-05
0.00358       	2.405252e+03	1.757918e-05
0.00359       	2.403638e+03	1.753932e-05
0.0036        	2.402039e+03	1.734696e-05
0.00361       	2.400439e+03	1.721180e-05
0.00362       	2.398866e+03	1.696988e-05
0.00363       	2.397311e+03	1.665527e-05
0.00364       	2.395752e+03	1.633808e-05
